,Street,City,State,Zip,Rooms,Price,Current Rents,Cap Rate,Gross Yield,Rating,Links
0,795 Norwood Dr<br>,Beaumont,TX,77706,"4bd, 2.5ba ",,"$2,600",12.5%,"$14,777",4,https://www.roofstock.com/investment-property-details/texas-texas/795-norwood-dr-beaumont-77706/1795353
1,108 Sulton St<br>,Batesburg-Leesville,SC,29006,"4bd, 2ba ",,"$1,300",18.4%,"$8,573",2,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/108-sulton-st-batesburg-leesville-29006/1745149
2,1508 Springlake Dr NE<br>,Birmingham,AL,35215,"3bd, 2ba ",,$975,12.0%,"$6,008",1,https://www.roofstock.com/investment-property-details/birmingham-alabama/1508-springlake-dr-ne-birmingham-35215/1742054
3,405 Peppermint Dr<br>,Hubert,NC,28539,"3bd, 2ba ",,"$1,200",8.0%,"$8,175",3,https://www.roofstock.com/investment-property-details/north%20carolina-north%20carolina/405-peppermint-dr-hubert-28539/1817130
4,510 N Grover St<br>,Liberty,MO,64068,"3bd, 1ba ",,"$1,000",9.1%,"$6,149",3,https://www.roofstock.com/investment-property-details/kansas%20city-missouri/510-n-grover-st-liberty-64068/1801458
5,305 Erie Dr<br>,Poinciana,FL,34759,"4bd, 2ba ",,"$1,470",7.8%,"$10,063",2,https://www.roofstock.com/investment-property-details/orlando-florida/305-erie-dr-poinciana-34759/1806998
6,606 Wellington Pt<br>,Houston,TX,77094,"4bd, 2.5ba ",,"$3,100",9.0%,"$14,485",5,https://www.roofstock.com/investment-property-details/houston-texas/606-wellington-pt-houston-77094/1791687
7,1018 W Grant St<br>,Appleton,WI,54914,"3bd, 1.5ba ",,"$1,295",11.3%,"$8,637",3,https://www.roofstock.com/investment-property-details/wisconsin-wisconsin/1018-w-grant-st-appleton-54914/1775919
8,410 Woodward St<br>,Beecher,IL,60401,"4bd, 3ba ",,"$1,750",10.8%,"$9,641",4,https://www.roofstock.com/investment-property-details/chicago-illinois/410-woodward-st-beecher-60401/1782387
9,464 Johnson Pool Rd<br>,Griffin,GA,30223,"3bd, 2ba ",,$975,9.4%,"$7,012",2,https://www.roofstock.com/investment-property-details/atlanta-georgia/464-johnson-pool-rd-griffin-30223/1780867
10,190 Grenoble Ln<br>,Florissant,MO,63033,"3bd, 1ba ",,"$1,050",12.0%,"$7,113",3,https://www.roofstock.com/investment-property-details/missouri-missouri/190-grenoble-ln-florissant-63033/1762432
11,200 Chapelwhite Rd<br>,Irmo,SC,29063,"3bd, 1.5ba ",,"$1,095",9.5%,"$6,998",4,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/200-chapelwhite-rd-irmo-29063/1674127
12,21211 Locust St<br>,Matteson,IL,60443,"3bd, 1.5ba ",,"$1,350",16.2%,"$6,271",3,https://www.roofstock.com/investment-property-details/chicago-illinois/21211-locust-st-matteson-60443/1809200
13,2645 164th Pl<br>,Hammond,IN,46323,"3bd, 1ba ",,"$1,150",12.0%,"$7,572",2,https://www.roofstock.com/investment-property-details/chicago-indiana/2645-164th-pl-hammond-46323/1697030
14,1203 Hillsboro Ln<br>,Helena,AL,35080,"3bd, 3ba ",,"$1,400",11.2%,"$11,159",4,https://www.roofstock.com/investment-property-details/birmingham-alabama/1203-hillsboro-ln-helena-35080/1832835
15,2496 Hampstead Dr<br>,Birmingham,AL,35235,"3bd, 2ba ",,"$1,000",10.6%,"$7,425",3,https://www.roofstock.com/investment-property-details/birmingham-alabama/2496-hampstead-dr-birmingham-35235/1832834
16,250 Common Reed Dr<br>,Gilbert,SC,29054,"3bd, 3ba ",,"$1,500",8.3%,"$11,281",4,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/250-common-reed-dr-gilbert-29054/1832774
17,302 Pickwick Dr<br>,Columbia,SC,29223,"3bd, 2ba ",,"$1,500",10.0%,"$9,003",4,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/302-pickwick-dr-columbia-29223/1832772
18,4353 Crestlite Dr<br>,Columbia,SC,29209,"4bd, 2ba ",,"$1,000",12.6%,"$7,484",3,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/4353-crestlite-dr-columbia-29209/1832771
19,307 Barmount Dr<br>,Columbia,SC,29210,"4bd, 3ba ",,"$1,600",8.9%,"$13,619",5,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/307-barmount-dr-columbia-29210/1832770
20,129 Owl Trace Ln<br>,Chapin,SC,29036,"3bd, 3ba ",,"$1,500",9.0%,"$11,708",4,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/129-owl-trace-ln-chapin-29036/1832769
21,602 S Congress St<br>,Winnsboro,SC,29180,"4bd, 3ba ",,"$1,600",11.0%,"$9,680",2,https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/602-s-congress-st-winnsboro-29180/1832757
22,10574 Keller Ln<br>,Vance,AL,35490,"3bd, 2ba ",,"$1,450",10.2%,"$11,978",3,https://www.roofstock.com/investment-property-details/alabama-alabama/10574-keller-ln-vance-35490/1832735
23,132 Chestnut St<br>,Irondale,AL,35210,"2bd, 1ba ",,"$1,300",9.8%,"$9,405",3,https://www.roofstock.com/investment-property-details/birmingham-alabama/132-chestnut-st-irondale-35210/1832734
24,200 June Ave<br>,Hueytown,AL,35023,"2bd, 1ba ",,$750,10.0%,"$4,984",3,https://www.roofstock.com/investment-property-details/birmingham-alabama/200-june-ave-hueytown-35023/1832733
